PilotID, PilotName,Active
22e07fcdaab3c6d545e8378bc6f3aabd,Ninja 1-2 [FTQ] Rasin,
a33c40a450ec0355cc518322c6868ad5,Saxon 1-2 - [RED] Yeti,
3dc61d51d243828efa4501c49a06742e,Trident 3-5 | Zulu,
ded40aa53a961bdb7c656e898440bc42,{TFT} Agen7orange >>,
8433bf314f50b089c4a8fb0e540c2698,Ganduwulf,TRUE
d4dfacf7d87e9a24c1f705bb886ab0dd,JSW= PG,TRUE
609cc24bb120294efd385ac790d95de4,COBRA 1-1 Klarkeus,
86e26b6ad1ea51bd7c740e331b9acf5e,Camflip,
f2babbbe46d996465a90be1aa25148f5,Badger,
36d17da910ba947c46daa5bd82df45ac,Kinder,
d0c1a69b6c9a213e843d9778b736e095,Tiger-1 (Sh0rty),
4d6db87376ebe62974f357ba3681773c,{TFT} PlagueDoctor,
e5d4c5716cacd4092a1cbfd45b1c0268,C_Dub,
7b1bbf0c6ff9c93f86e8d3b875123fe4,JSW=repman,
813759da956084866e9e72540e544b68,JSW=Razor,TRUE
ff8ac29385fabb37718ef64097be182b,Funktifino,
404e93017b683843a6b19370dcad28d7,VIGIT 1-2,
2c51d59c5222c001cec75e8c0dbd375a,JSW=Breaklight,
5c1e735107362c2bb116b5b961361856,Tyrant 3-1 | [VAF] Jup,
9ac90c1f8194fc41bcbeff835fb43359,Farebro,
eaeccb1a173bdf46c012a7dd5af89727,Shorty,
c964a7c9b21e9f24f875155bdc91c87f,Magic 1-1 papaz,
d83864b3d00546b45db3ca613c9875ef,SHARK 1-2 | ETF Doormouse,
9816cd79fe88962a3a3fb7fd35176076,JSW= KEULE,
34c71ada8848ff2a30d8f2631cdaf664,[BSD] Houseman,
f7fdb4e36ed9aa567f6de07d1eec5000,Dutch,
2d65ee9349e5cd50088b83a75a26c53d,JSW= Ripper66,
07b9394ca33401c8fff69f8fde723e8e,JSW008= Tricky,
a6271744fd547e44aeb0a15faaec0c49,Blackjack,
1c518f35fd804a6d3f0a9992836701da,№20 | Neoshot,
a9e033cc9e64f8b35a45ae4e8666e556,JTFF | Gemini | VF-84,
32f2857a30876614335e65ed29245470,Bassman,
c6d68cebdeee5d30e2ade2c170004607,Roadrunner,
c64692a6c29dabccc20ed5dc0988f52e,Talon 1-2 ETF Dizzy,
249a6b4dac329e1e2749d2310e69b2d7,Rivets,
c515900aec81f4de675708369df6db7b,DannyR,
fd3f951aa61fe5aef09abfb331620fd1,Ninja 1-3 [FTQ] GivingTNT,
406bf3406b53aac88df8e4fc8e2a9448,Kaiser 1-1 41Sqn Mark,
1ffd5abe765a21afc850fe45c6099ed4,(Vixen4-1)Flick,
b8f3357aa3b7fb9a9d67912cd30a1b7a,SNAPPER2 JesT,
fad102679a18ac9ce987dc94c35ecb77,Hawk 3-1|foltrever,
fed881295d697325c92f133e1d0f92fd,JSW= SHAGGY,
b86fc958109c9bf5cd5fa4af78980b72,Ronin 1-3 41Sqn Bob,
ed937ad7fd31fd6633644b7128b14166,JSW=Ajax,TRUE
d8d245a78f5fb9d4a24d4c535903cf93,Hawk3-1 - [VAF] AyCee,
125c908ff7f225385248d91ad8b292de,Gaz,
